Protein_alias	Manual_Conf_Level	QC1	QC2	QC3	QC4	QC5
CLB5_1_p_r1	medium	0.001048052	0.000714826	0.000491118	0.001658975	0.001455372
CLB5_1_p_r2	medium	0.001871668	0.001203651	0.002005355	0.001365288	0.001019087
CLN2_1_p_r1	medium	0.001353474	0.00153497	0.00284125	0.00231868	0.001038086
CLN2_1_p_r2	medium	0.003501011	0.001326907	0.001357371	0.003558744	0.004331786
CLN2_2_p_r1	medium	0.002847848	0.007694424	0.001552612	0.006602243	0.004890167
CLN2_2_p_r2	medium	0	0.011147343	0	0.006181248	0
CLN3_2_p_r1	medium	0.000974058	0.000230533	0.000279113	0.000392391	0
CLN3_2_p_r2	medium	0.002381349	0.001203872	0	0	0.000794134
ELM1_2_p_r1	high	0.004120527	0.00886664	0.008617141	0.00981775	0.009783151
ELM1_2_p_r2	medium	0.003564711	0.008450797	0.003660761	0.007793035	0.003713055
FHL1_1_p_r1	high	0.028217961	0.027982649	0.026273986	0.025701789	0.033837844
FHL1_1_p_r2	high	0.04082731	0.049807433	0.043378039	0.043406097	0.034387345
FHL1_2_p_r1	high	0.021945116	0.023291061	0.020700641	0.024549241	0.022000307
FHL1_2_p_r2	high	0.032470379	0.025263903	0.026709951	0.024562135	0.025656099
FHL1_3_p_r1	medium	0.034001046	0.033714509	0.038410387	0.036280551	0.032738835
FHL1_3_p_r2	high	0.044022679	0.062136243	0.045609337	0.048021366	0.058946347
FKH1_1_p_r1	high	0.191188492	0.188022269	0.194846659	0.194861101	0.200092909
FKH1_1_p_r2	medium	1.367720051	1.218456151	1.269314969	1.315503982	1.130285594
FKH2_1_p_r1	high	0.013240991	0.013133003	0.012028393	0.014467686	0.011374084
FKH2_1_p_r2	high	0.014542177	0.012776958	0.0132499	0.012805142	0.012562831
FKH2_2_p_r1	medium	0.201737786	0.21669909	0.186808022	0.207199503	0.077441254
FKH2_2_p_r2	medium	0.081802763	0.23011123	0.075535598	0.068297043	0.060896378
GAT1_1_p_r1	high	0.01772167	0.022230377	0.022300604	0.023572371	0.028272127
GAT1_1_p_r2	high	0.01666641	0.023475377	0.020412321	0.018902561	0.019737401
HCM1_1_p_r1	high	0.011679746	0.009400096	0.011819914	0.011947949	0.013601368
HCM1_1_p_r2	high	0.021097586	0.021946451	0.023404583	0.021696337	0.024288694
HCM1_2_p_r1	high	0.008098527	0.009717647	0.008771599	0.011384571	0.008969707
HCM1_2_p_r2	high	0.010450604	0.010195781	0.010952372	0.00910649	0.009083786
INO4_1_p_r1	high	0.028295901	0.028897525	0.027969691	0.026591603	0.027119516
INO4_1_p_r2	high	0.071243191	0.070911541	0.069262053	0.071484045	0.07021682
INO4_3_p_r1	high	0.011288281	0.010492797	0.009707981	0.010481029	0.010779123
INO4_3_p_r2	high	0.013950122	0.013647357	0.013896708	0.014850508	0.013897357
IXR1_2_p_r1	high	0.088958865	0.081217365	0.077921545	0.083241006	0.081816266
IXR1_2_p_r2	high	0.086689083	0.081597234	0.094308021	0.104656656	0.091649108
MBP1_1_p_r1	high	0.010399568	0.056964698	0.041276881	0.050764856	0.052732633
MBP1_1_p_r2	high	0.122293225	0.144095987	0.146770089	0.105804943	0.109961346
MBP1_2_p_r1	medium	0.008587882	0.002072739	0.001855574	0.002445511	0.002369158
MBP1_2_p_r2	medium	0.016853556	0.00474943	0.004219878	0.007081523	0.010255114
MCM1_1_p_r1	high	0.085454341	0.085272868	0.091954108	0.099463786	0.099200602
MCM1_1_p_r2	high	0.0992454	0.099228033	0.098132316	0.074948238	0.097297397
MET32_1_p_r1	medium	0.005632481	0.005120863	0.005863261	0.006413596	0.008216753
MET32_1_p_r2	medium	0.010612644	0.006086931	0.008946288	0.009179033	0.009284231
MSN2_1_p_r1	high	0.025942531	0.023567688	0.024586455	0.028444762	0.029285419
MSN2_1_p_r2	high	0.046258441	0.04404788	0.04271844	0.035371585	0.044756971
MSN2_2_p_r1	medium	0.017396517	0.023819888	0.016495172	0.019192396	0.017172796
MSN2_2_p_r2	medium	0.018073097	0.018251723	0.022681153	0.021573447	0.020635021
MSN4_2_p_r1	high	0.023094192	0.021735692	0.021316005	0.022848351	0.022434704
MSN4_2_p_r2	high	0.030159174	0.02758069	0.026397615	0.02701399	0.026315155
MSN4_3_p_r1	high	0.052557162	0.047465819	0.046818361	0.045118004	0.050802683
MSN4_3_p_r2	high	0.062601862	0.064785389	0.06003863	0.065205883	0.06308826
NDD1_1_p_r1	high	0.029873396	0.041195229	0.037103416	0.043689908	0.036275033
NDD1_1_p_r2	high	0.034614418	0.031714314	0.044908492	0.037846291	0.029242236
NDD1_2_p_r1	high	0.022927097	0.020792887	0.019136147	0.01823595	0.018203855
NDD1_2_p_r2	high	0.036712981	0.033888607	0.032845468	0.033299893	0.029896446
NRM1_1_p_r1	high	0.008825505	0.008640141	0.00873847	0.008807624	0.007405372
NRM1_1_p_r2	high	0.011946035	0.013596625	0.011852659	0.012827995	0.013756272
NRM1_2_p_r1	high	0.005435987	0.009463923	0.004999302	0.006550036	0.008483322
NRM1_2_p_r2	high	0.015970943	0.012355263	0.011523373	0.015698355	0.012412274
PCL1_1_p_r1	high	0.008686951	0.008017148	0.008203435	0.009315852	0.008281733
PCL1_1_p_r2	high	0.009260285	0.010682303	0.009552553	0.010444464	0.009048979
PCL1_2_p_r1	low	0.002952867	0.024357284	0.011322377	0	0
PCL1_2_p_r2	low	0.057988564	0.015862436	0.028279458	0.008912329	0.0086755
PCL2_2_p_r1	high	0.003995199	0.00317497	0.003583973	0.003132042	0.002994136
PCL2_2_p_r2	high	0.004343629	0.003702358	0.003931206	0.005525476	0.004236883
PDS1_2_p_r1	high	0.028509966	0.024980779	0.029967846	0.029260507	0.028152271
PDS1_2_p_r2	high	0.0323263	0.0303959	0.030480012	0.031301666	0.032469817
PDS1_3_p_r1	low	0.000827566	0.000212192	0.000158076	0.001510959	0.000168845
PDS1_3_p_r2	low	0	0	0.000451666	0	0.000299776
PHD1_1_p_r1	high	0.001550185	0.001149505	0.001502999	0.001539622	0.001768598
PHD1_1_p_r2	high	0.001533462	0.000728915	0.001090289	0.002077558	0.001298216
PLM2_1_p_r1	high	0.00679491	0.007098023	0.006379448	0.00621428	0.00681787
PLM2_1_p_r2	high	0.007209543	0.0076263	0.007484328	0.006801952	0.007825658
PLM2_2_p_r1	high	0.006618067	0.005961573	0.005818602	0.006941255	0.005240395
PLM2_2_p_r2	high	0.01083917	0.008951529	0.009591014	0.008782143	0.009530517
SIC1_1_p_r1	high	0.014291177	0.014908826	0.015762207	0.014912291	0.01362114
SIC1_1_p_r2	high	0.013480386	0.015808616	0.013432839	0.014719135	0.014081199
SIC1_2_p_r1	medium	0.053820287	0.063463608	0.051437007	0.049961993	0.052540833
SIC1_2_p_r2	medium	0.032275565	0.031417268	0.035001941	0.02652336	0.0239036
STB1_2_p_r1	high	0.027339139	0.03003517	0.028193769	0.027776582	0.021668274
STB1_2_p_r2	high	0.103609274	0.101784041	0.097767306	0.101263004	0.114473567
STB1_3_p_r1	low	0.053439979	0.062568363	0.070677329	0.064296474	0.058639965
STB1_3_p_r2	low	0.091540782	0.069924082	0.063195944	0.056561335	0.054811158
SWE1_1_p_r1	medium	0.10420353	0.000945004	0.019270916	0.08005503	0.061930751
SWE1_1_p_r2	high	0.00047557	0.002528814	0	0	0.001650754
SWI4_1_p_r1	high	0.02289557	0.021993626	0.020113496	0.022775242	0.020223533
SWI4_1_p_r2	high	0.03397715	0.034264019	0.033911912	0.032265448	0.033575484
SWI4_2_p_r1	high	0.009756966	0.00993501	0.012380704	0.010473072	0.008409083
SWI4_2_p_r2	medium	0.009888798	0.010079702	0.010808565	0.011224601	0.008614758
SWI4_3_p_r1	high	0.036585949	0.035458907	0.035862989	0.036358863	0.034539257
SWI4_3_p_r2	high	0.153692025	0.142078808	0.154215698	0.142216851	0.139851272
SWI5_1_p_r1	medium	0.003782628	0.00351197	0.003602688	0.004417726	0.002788545
SWI5_1_p_r2	medium	0.004065202	0.002656392	0.003650653	0.004477046	0.002711351
SWI5_3_p_r1	medium	0.000408659	0.000507896	5.49E-05	0.000715369	0.000744648
SWI5_3_p_r2	medium	0.000455571	0.000333283	0	0.000353549	0.000267649
SWI6_1_p_r1	medium	0.027068745	0.027284793	0.027471432	0.080368402	0.02615714
SWI6_1_p_r2	medium	0.039712759	0.036812607	0.034507031	0.122118889	0.135069406
SWI6_2_p_r1	high	0.030389817	0.035143576	0.034184688	0.033463228	0.032545702
SWI6_2_p_r2	high	0.039902463	0.040341803	0.037777845	0.036331234	0.042991507
SWI6_3_p_r1	high	0.069044678	0.064740418	0.057262511	0.066904241	0.066378875
SWI6_3_p_r2	high	0.063963286	0.069439011	0.065051127	0.06710087	0.064717218
TOS4_1_p_r1	high	0.038234149	0.062317307	0.065561805	0.056040973	0.035988815
TOS4_1_p_r2	high	0.061594924	0.065405533	0.039983877	0.035393567	0.036744298
TOS4_2_p_r1	high	0.025756128	0.049716437	0.044933095	0.051190922	0.033275433
TOS4_2_p_r2	high	0.062023026	0.054226716	0.033202869	0.030844654	0.029147146
UME6_1_p_r1	low	0.005180462	0.013080283	0.002606557	0.047060747	0.02073484
UME6_1_p_r2	low	0.010868479	0.003909618	0.009944866	0.002119641	0.001760626
UME6_2_p_r1	medium	0.017602271	0.012889037	0.016557003	0.010939169	0.015213861
UME6_2_p_r2	high	0.017923267	0.023952472	0.023119801	0.019399895	0.018106875
WHI5_1_p_r1	high	0.003280439	0.003035025	0.004592254	0.006111361	0.010150414
WHI5_1_p_r2	high	0.003438778	0.003549676	0.009613933	0.003010107	0.003860045
WHI5_2_p_r1	high	0.014236014	0.016534813	0.015467029	0.015623924	0.016758396
WHI5_2_p_r2	high	0.027006624	0.022101627	0.023014788	0.022041522	0.022144463
YHP1_2_p_r1	low	0.019043703	0	0.010805997	0	0.015978642
YHP1_2_p_r2	low	0.008908033	0.008528039	0.007602758	0.011862946	0.013527669
YHP1_3_p_r1	low	0.004176007	0.005761921	0.008231712	0.001894646	0.012361066
YHP1_3_p_r2	low	0.009264487	0.009285737	0.004891638	0.009518369	0.007904201
YHP1_4_p_r1	medium	0.00124908	0.001470107	0.001606118	0.00182738	0.000975564
YHP1_4_p_r2	medium	0.003142308	0.002025975	0.0006794	0.001292354	0.000236678
YHP1_5_p_r1	high	0.007057607	0.007423443	0.007440997	0.006962108	0.005740531
YHP1_5_p_r2	high	0.010852353	0.008598346	0.008954335	0.006088814	0.007697013
YOX1_1_p_r1	high	0.004356365	0.004976203	0.003764389	0.000692218	0.004065029
YOX1_1_p_r2	high	0.006947062	0.008908745	0.007747838	0.005232854	0.005606513
YOX1_2_p_r1	medium	0.001100838	0	0	0.001024298	0.000677924
YOX1_2_p_r2	medium	0	0	0.000676762	0.000622176	0
