Protein_alias	Manual_Conf_Level	QC1	QC2	QC3	QC4	QC5
INO4_2_p_r1	medium	0.020487268	0.028953298	0.0207721	0.016076261	0.013901541
INO4_3_p_r2	high	0.025809905	0.018819199	0.020076167	0.018813843	0.019748492
IXR1_2_p_r1	high	0.183507829	0.142778888	0.136811328	0.14067443	0.154146874
IXR1_2_p_r2	high	0.162258368	0.161258548	0.169194322	0.16950065	0.18330017
MBP1_1_p_r1	high	0.023226195	0.028843719	0.026632194	0.025658813	0.030891776
MBP1_1_p_r2	high	0.058289412	0.04247465	0.050886345	0.047957172	0.046539736
MBP1_2_p_r1	medium	0.008909729	0.005218167	0.002517095	0.003017283	0.006509116
MBP1_2_p_r2	medium	0.010095041	0.008551204	0.008492257	0.00777438	0.008709585
MCM1_1_p_r1	high	0.17493147	0.151467844	0.142242423	0.154655662	0.155171633
MCM1_1_p_r2	high	0.174210808	0.135783576	0.139882589	0.138583227	0.141223082
MET32_1_p_r1	medium	0.001894786	0.000840151	0.001837906	0.001840358	0.002106314
MET32_1_p_r2	medium	0.010561022	0.003987316	0.010872265	0.007637251	0.007471797
MSN2_1_p_r1	medium	0.020101023	0.017447049	0.021063079	0.020444976	0.017179816
MSN2_1_p_r2	high	0.031048226	0.024663896	0.030961418	0.028850186	0.024957741
MSN2_2_p_r1	medium	0.01651154	0.015288362	0.010513306	0.011026923	0.010391478
MSN2_2_p_r2	medium	0.004271497	0.006931193	0.007564861	0.010504587	0.008191574
MSN4_2_p_r1	high	0.029534437	0.023733789	0.022748477	0.023905339	0.026722434
MSN4_2_p_r2	high	0.027388671	0.026400925	0.026322281	0.02973656	0.026503916
MSN4_3_p_r2	medium	0.055168982	0.049737499	0.039019024	0.052408263	0.050563038
NDD1_1_p_r1	high	0	0.007845899	0.004033012	0.006930078	0.008895675
NDD1_1_p_r2	high	0.010257877	0.00646518	0.004326619	0.005246795	0.005962513
NDD1_2_p_r1	high	0.002706907	0.001777238	0.002404117	0.004778042	0.003208927
NDD1_2_p_r2	high	0.005425749	0.006183829	0.009196118	0.005218721	0.006130631
NRM1_1_p_r1	high	0.010960296	0.009488108	0.009949273	0.009191407	0.010525381
NRM1_1_p_r2	high	0.011347855	0.017992983	0.016903691	0.018520098	0.016100414
NRM1_2_p_r1	high	0.00725483	0.005541947	0.004827847	0.00640017	0.000488266
NRM1_2_p_r2	high	0.003423545	0.005903706	0.005765001	0.004869567	0.005165051
PCL1_1_p_r1	high	0.003434209	0.00402509	0.002685149	0.002429255	0.002262251
PCL1_1_p_r2	high	0.003008133	0.002570133	0.002450952	0.002879705	0.002450523
PCL1_2_p_r1	low	0	0.030884312	0.025990729	0.157026043	0.061448804
PCL2_2_p_r1	high	0.003786896	0.00251011	0.003663442	0.004271814	0.003283258
PCL2_2_p_r2	high	0.00542149	0.005640283	0.004880147	0.00635047	0.006584983
PDS1_2_p_r1	high	0.007583581	0.002794541	0.002694799	0.004113348	0.003797212
PDS1_2_p_r2	high	0.009236465	0.009260461	0.007403821	0.008994906	0.008378956
PDS1_3_p_r2	medium	0.000145866	0.000155682	0.000355589	0.000263913	0.000115479
PHD1_1_p_r1	high	0.003151536	0.002649275	0.003108315	0.003686325	0.002423914
PHD1_1_p_r2	high	0.002667059	0.002048427	0.00225581	0.002853321	0.002563703
PLM2_1_p_r1	high	0.00158081	0.001611012	0.001406722	0.001430086	0.00147209
PLM2_1_p_r2	high	0.000836867	0.001233693	0.000802819	0.001193107	0.001140631
PLM2_2_p_r1	high	0.000266451	0.000199502	0.000305412	0.000196757	0.000447682
PLM2_2_p_r2	high	0.00025264	0.000177598	0.000369741	0.000248296	0.000354577
RIM11_2_p_r1	high	0.031278958	0.037410335	0.031389301	0.038274104	0.035371371
RIM11_2_p_r2	high	0.076321852	0.068072103	0.06525152	0.065373469	0.067409137
SFG1_1_p_r2	medium	0.000372201	0	0.0005587	0.000542091	0.000110744
SFG1_2_p_r1	medium	0.004317428	0.002673619	0.003708624	0.001668212	0.001822741
SFG1_2_p_r2	high	0.00167264	0.001268983	0.002713146	0.004204845	0.001140563
SIC1_1_p_r1	high	0.013960966	0.011052086	0.011132663	0.010659025	0.01241129
SIC1_1_p_r2	high	0.014015148	0.013990928	0.013050143	0.013369975	0.014120224
SIC1_2_p_r1	high	0.006156857	0.004193009	0.005824882	0.00605137	0.01099726
SIC1_2_p_r2	medium	0.007400281	0.009350903	0.002489601	0	0
STB1_1_p_r1	medium	1.445134736	1.42255984	1.380983718	1.59235166	1.037714034
STB1_1_p_r2	medium	1.122734017	0.649464243	0.913527978	0.920675105	0.829909393
STB1_2_p_r1	medium	0.021642273	0.018261455	0.014113211	0.019291516	0.005751632
STB1_2_p_r2	medium	0.057207362	0.034635432	0.013810823	0.013689377	0.025613195
STB1_3_p_r1	medium	NA	0.111190659	0.037499816	0.012492823	0.021646622
STB1_3_p_r2	medium	0.063443862	0.05449889	0.015925535	0.116878279	0.075309856
SWE1_1_p_r2	medium	0	0.001394642	0.000480154	0.000886402	0
SWE1_2_p_r1	low	0.054038651	0.086222732	0.019982797	0.036178823	0.043952955
SWI4_1_p_r1	high	0.024064566	0.022482071	0.02508799	0.023320946	0.024228809
SWI4_1_p_r2	high	0.029052585	0.027146689	0.027553257	0.027255842	0.026907427
SWI4_2_p_r1	high	0.006461154	0.009829103	0.012592679	0.012614371	0.010580202
SWI4_2_p_r2	high	0.01886407	0.01739873	0.020585115	0.020084413	0.01834909
SWI4_3_p_r1	high	0.013314086	0.011462879	0.014805857	0.014214182	0.014437019
SWI4_3_p_r2	medium	0.04014869	0.040602549	0.040859818	0.04382576	0.040142583
SWI5_1_p_r1	high	0.001963697	0.00208248	0.001405916	0.001641376	0.001722975
SWI5_1_p_r2	high	0.008695063	0.013325896	0.009821806	0.008958665	0.006457093
SWI5_3_p_r1	high	0.000405752	0.000521117	0.000493887	0.00040656	0.000542741
SWI5_3_p_r2	medium	0.000447571	0.000826777	0.000393278	0.000374931	0.000793786
SWI6_1_p_r1	medium	0.024860491	0.020884682	0.021853991	0.077982939	0.023631918
SWI6_1_p_r2	medium	0.165736291	0.055991864	0.144350241	0.107504451	0.059610331
SWI6_2_p_r1	high	0.037517975	0.036176888	0.037245784	0.036759234	0.031572956
SWI6_2_p_r2	high	0.045626144	0.034002683	0.038429172	0.038422262	0.038566754
SWI6_3_p_r2	high	0.07014083	0.06848144	0.065137006	0.06785036	0.069568388
TAF12_1_p_r1	high	0.11519123	0.098414066	0.097699279	0.09749846	0.097095861
TAF12_1_p_r2	high	0.115593105	0.090823567	0.099377642	0.096415461	0.095060706
TAF12_2_p_r1	high	0.074638941	0.068655102	0.07447457	0.061164761	0.061216994
TOS4_1_p_r1	high	0.008318929	0.00777736	0.008950371	0.013393816	0.013003929
TOS4_1_p_r2	high	0.006755501	0.011358363	0.011531007	0.011888643	0.006603463
TOS4_2_p_r1	high	0.007152467	0.008298176	0.007722462	0.011450162	0.012784475
TOS4_2_p_r2	high	0.00758944	0.006635905	0.010067009	0.009651961	0.005412047
UME6_1_p_r1	medium	0.002508333	0.001433505	0.002308526	0.003241761	0.002927711
UME6_1_p_r2	medium	0.001531251	0.001302991	0.001174622	0.001668078	0.001114666
UME6_2_p_r1	medium	0.019773923	0.017332713	0.019115414	0.020033901	0.018553948
UME6_2_p_r2	medium	0.02308028	0.017472593	0.022127897	0.023046366	0.02585998
VPS9_1_p_r1	high	0.07231731	0.065267963	0.063618105	0.066888478	0.067391923
VPS9_1_p_r2	high	0.099480953	0.088922335	0.091646514	0.087590386	0.087288765
VPS9_2_p_r1	high	0.089167916	0.072861338	0.074559018	0.072050831	0.070748957
VPS9_2_p_r2	high	0.123537414	0.14374631	0.125852449	0.131849441	0.131224886
WHI5_1_p_r1	medium	0.013693884	0.00750104	0.004336448	0.004105599	0.011873522
WHI5_1_p_r2	medium	0.006224205	0.004863473	0.009817422	0.004570581	0.003920254
YHP1_1_p_r1	low	0.007531568	0.01174694	0.012413347	0.014566484	0.016719974
YHP1_2_p_r1	medium	0	0	0	0	0
YHP1_2_p_r2	medium	0.001573735	0	0.001428852	0	0
YOX1_1_p_r1	high	0.000711784	0.000615784	0.00046374	0.00041962	0.000347908
YOX1_1_p_r2	high	0.006211153	0.001454988	0.002853519	0.001028691	0.001015071
YOX1_2_p_r1	medium	0.001124424	0.000769158	0	0	0
YOX1_2_p_r2	medium	0.000492278	0	0.000522152	0.000604016	0
YOX1_3_p_r2	low	0.007794175	0.005486326	0.003299193	0.004547845	0.006249816
